IP:PORT, LOSS, DELAY
162.159.195.166:1074,0.00%,180 ms
162.159.192.106:1074,0.00%,181 ms
162.159.192.169:864,0.00%,181 ms
162.159.192.51:1074,0.00%,182 ms
162.159.195.251:1074,0.00%,182 ms
162.159.192.31:864,0.00%,182 ms
162.159.195.96:1074,0.00%,183 ms
162.159.195.44:864,0.00%,183 ms
162.159.192.121:1074,0.00%,183 ms
162.159.195.96:864,0.00%,184 ms
162.159.192.55:1074,0.00%,185 ms
162.159.192.109:864,0.00%,185 ms
162.159.192.31:1074,0.00%,185 ms
162.159.192.106:864,0.00%,186 ms
162.159.192.182:864,0.00%,187 ms
162.159.192.182:1074,0.00%,187 ms
162.159.192.56:864,0.00%,187 ms
162.159.195.161:1074,0.00%,188 ms
162.159.195.52:1074,0.00%,188 ms
162.159.195.250:864,0.00%,188 ms
162.159.192.144:864,0.00%,188 ms
162.159.195.161:864,0.00%,189 ms
162.159.195.221:864,0.00%,189 ms
162.159.195.196:864,0.00%,189 ms
162.159.192.246:864,0.00%,189 ms
162.159.192.56:1074,0.00%,189 ms
162.159.195.221:1074,0.00%,190 ms
162.159.192.51:864,0.00%,190 ms
162.159.195.250:1074,0.00%,190 ms
162.159.192.169:1074,0.00%,190 ms
162.159.192.109:1074,0.00%,191 ms
162.159.195.18:864,0.00%,191 ms
162.159.195.81:1074,0.00%,191 ms
162.159.195.18:1074,0.00%,191 ms
162.159.192.121:864,0.00%,191 ms
162.159.195.251:864,0.00%,191 ms
162.159.195.44:1074,0.00%,191 ms
162.159.195.58:1074,0.00%,191 ms
162.159.195.58:864,0.00%,192 ms
162.159.195.196:1074,0.00%,193 ms
162.159.192.143:864,0.00%,193 ms
162.159.192.246:1074,0.00%,193 ms
162.159.192.55:864,0.00%,193 ms
162.159.192.143:1074,0.00%,193 ms
162.159.195.8:1074,0.00%,193 ms
162.159.195.8:864,0.00%,194 ms
162.159.195.166:864,0.00%,194 ms
162.159.195.52:864,0.00%,197 ms
162.159.195.81:864,0.00%,204 ms
188.114.97.8:864,0.00%,215 ms
188.114.97.100:864,0.00%,224 ms
188.114.98.197:1074,0.00%,225 ms
188.114.97.70:1074,0.00%,225 ms
188.114.97.224:864,0.00%,227 ms
188.114.96.193:864,0.00%,230 ms
188.114.97.160:864,0.00%,231 ms
188.114.96.87:864,0.00%,231 ms
188.114.96.150:864,0.00%,232 ms
188.114.97.71:864,0.00%,232 ms
188.114.99.87:864,0.00%,232 ms
188.114.96.210:1074,0.00%,232 ms
188.114.97.71:1074,0.00%,232 ms
188.114.98.234:1074,0.00%,232 ms
188.114.97.144:1074,0.00%,233 ms
188.114.96.193:1074,0.00%,235 ms
188.114.96.71:1074,0.00%,235 ms
188.114.97.191:1074,0.00%,236 ms
188.114.97.224:1074,0.00%,236 ms
188.114.97.8:1074,0.00%,236 ms
188.114.98.133:864,0.00%,236 ms
188.114.96.230:864,0.00%,237 ms
188.114.96.47:1074,0.00%,237 ms
188.114.96.71:864,0.00%,237 ms
188.114.97.14:1074,0.00%,238 ms
188.114.99.247:1074,0.00%,238 ms
188.114.96.181:864,0.00%,239 ms
188.114.99.46:864,0.00%,241 ms
188.114.97.28:1074,0.00%,242 ms
188.114.96.150:1074,0.00%,242 ms
188.114.97.85:1074,0.00%,243 ms
188.114.97.152:864,0.00%,243 ms
188.114.99.99:1074,0.00%,243 ms
